semana,tienda_id,categoria,precio_unitario,descuento_pct,inventario_prev,es_temporada_alta,ventas_categoria
38,1,Electronica,2217.88,0.011,231,0,BAJA
38,1,Ropa,493.37,0.082,65,0,BAJA
38,1,Alimentos,110.89,0.129,83,0,BAJA
38,1,Hogar,683.17,0.077,203,0,BAJA
38,1,Deportes,729.79,0.123,227,0,ALTA
38,2,Electronica,2338.14,0.043,125,0,BAJA
38,2,Ropa,456.01,0.024,188,0,BAJA
38,2,Alimentos,113.17,0.076,209,0,BAJA
38,2,Hogar,834.93,0.023,159,0,ALTA
38,2,Deportes,626.09,0.062,57,0,BAJA
38,3,Electronica,2841.74,0.143,120,0,ALTA
38,3,Ropa,406.68,0.059,239,0,BAJA
38,3,Alimentos,129.49,0.016,246,0,BAJA
38,3,Hogar,866.06,0.051,175,0,BAJA
38,3,Deportes,580.97,0.141,233,0,BAJA
38,4,Electronica,2594.08,0.121,63,0,BAJA
38,4,Ropa,424.85,0.095,121,0,BAJA
38,4,Alimentos,123.47,0.122,126,0,BAJA
38,4,Hogar,727.21,0.036,109,0,BAJA
38,4,Deportes,669.68,0.104,122,0,BAJA
38,5,Electronica,2278.07,0.07,210,0,BAJA
38,5,Ropa,397.33,0.133,118,0,BAJA
38,5,Alimentos,102.91,0.104,113,0,ALTA
38,5,Hogar,826.36,0.036,127,0,ALTA
38,5,Deportes,581.2,0.045,67,0,BAJA
38,6,Electronica,2129.54,0.073,74,0,BAJA
38,6,Ropa,507.52,0.024,243,0,BAJA
38,6,Alimentos,128.7,0.082,226,0,BAJA
38,6,Hogar,808.29,0.029,83,0,BAJA
38,6,Deportes,616.43,0.056,201,0,BAJA
39,1,Electronica,2839.05,0.111,169,0,BAJA
39,1,Ropa,389.2,0.039,143,0,BAJA
39,1,Alimentos,128.78,0.138,134,0,BAJA
39,1,Hogar,910.77,0.067,147,0,BAJA
39,1,Deportes,729.86,0.085,202,0,BAJA
39,2,Electronica,2381.39,0.065,219,0,BAJA
39,2,Ropa,489.68,0.141,174,0,BAJA
39,2,Alimentos,130.98,0.127,129,0,ALTA
39,2,Hogar,776.45,0.101,140,0,BAJA
39,2,Deportes,622.11,0.095,87,0,BAJA
39,3,Electronica,2534.27,0.031,108,0,BAJA
39,3,Ropa,447.65,0.032,243,0,BAJA
39,3,Alimentos,136.46,0.064,145,0,BAJA
39,3,Hogar,806.01,0.106,100,0,BAJA
39,3,Deportes,576.57,0.031,50,0,ALTA
39,4,Electronica,2857.96,0.036,182,0,BAJA
39,4,Ropa,456.84,0.023,195,0,BAJA
39,4,Alimentos,128.33,0.115,245,0,ALTA
39,4,Hogar,761.99,0.097,63,0,BAJA
39,4,Deportes,575.78,0.049,213,0,BAJA
39,5,Electronica,2420.23,0.071,220,0,BAJA
39,5,Ropa,499.9,0.013,205,0,BAJA
39,5,Alimentos,108.55,0.065,83,0,BAJA
39,5,Hogar,808.48,0.095,89,0,BAJA
39,5,Deportes,560.59,0.048,161,0,BAJA
39,6,Electronica,2625.2,0.065,240,0,BAJA
39,6,Ropa,508.07,0.079,101,0,ALTA
39,6,Alimentos,128.14,0.018,110,0,BAJA
39,6,Hogar,815.46,0.09,83,0,BAJA
39,6,Deportes,672.85,0.145,195,0,BAJA
40,1,Electronica,2696.66,0.089,88,0,BAJA
40,1,Ropa,466.66,0.09,147,0,BAJA
40,1,Alimentos,114.04,0.078,89,0,BAJA
40,1,Hogar,724.59,0.013,137,0,BAJA
40,1,Deportes,637.85,0.042,161,0,BAJA
40,2,Electronica,2824.65,0.138,150,0,BAJA
40,2,Ropa,482.01,0.006,144,0,BAJA
40,2,Alimentos,135.14,0.002,160,0,BAJA
40,2,Hogar,796.4,0.013,244,0,BAJA
40,2,Deportes,672.27,0.035,146,0,BAJA
40,3,Electronica,2181.17,0.016,217,0,BAJA
40,3,Ropa,408.82,0.076,203,0,ALTA
40,3,Alimentos,122.77,0.018,57,0,ALTA
40,3,Hogar,880.2,0.018,59,0,BAJA
40,3,Deportes,717.08,0.039,134,0,ALTA
40,4,Electronica,2461.81,0.087,164,0,BAJA
40,4,Ropa,425.1,0.016,123,0,ALTA
40,4,Alimentos,129.6,0.145,244,0,BAJA
40,4,Hogar,824.19,0.105,107,0,BAJA
40,4,Deportes,641.35,0.072,201,0,BAJA
40,5,Electronica,2363.53,0.139,61,0,BAJA
40,5,Ropa,505.73,0.092,159,0,BAJA
40,5,Alimentos,114.36,0.128,161,0,BAJA
40,5,Hogar,703.9,0.002,242,0,BAJA
40,5,Deportes,670.13,0.012,186,0,BAJA
40,6,Electronica,2556.75,0.019,166,0,BAJA
40,6,Ropa,437.37,0.132,179,0,BAJA
40,6,Alimentos,124.45,0.02,111,0,BAJA
40,6,Hogar,898.12,0.114,185,0,ALTA
40,6,Deportes,588.39,0.113,144,0,BAJA
41,1,Electronica,2587.47,0.006,115,0,BAJA
41,1,Ropa,402.47,0.148,91,0,BAJA
41,1,Alimentos,109.33,0.115,135,0,BAJA
41,1,Hogar,685.04,0.005,139,0,BAJA
41,1,Deportes,725.12,0.013,157,0,BAJA
41,2,Electronica,2415.98,0.124,76,0,BAJA
41,2,Ropa,483.94,0.141,185,0,ALTA
41,2,Alimentos,135.77,0.041,116,0,BAJA
41,2,Hogar,863.68,0.139,90,0,BAJA
41,2,Deportes,696.52,0.01,127,0,BAJA
41,3,Electronica,2353.37,0.147,178,0,BAJA
41,3,Ropa,514.34,0.057,210,0,BAJA
41,3,Alimentos,133.3,0.027,239,0,BAJA
41,3,Hogar,758.29,0.113,128,0,BAJA
41,3,Deportes,639.19,0.111,95,0,ALTA
41,4,Electronica,2349.95,0.071,83,0,BAJA
41,4,Ropa,436.5,0.009,166,0,BAJA
41,4,Alimentos,107.46,0.09,182,0,BAJA
41,4,Hogar,848.26,0.062,150,0,ALTA
41,4,Deportes,687.39,0.099,57,0,BAJA
41,5,Electronica,2859.27,0.063,150,0,BAJA
41,5,Ropa,479.33,0.087,209,0,BAJA
41,5,Alimentos,118.45,0.071,127,0,BAJA
41,5,Hogar,847.32,0.012,222,0,BAJA
41,5,Deportes,565.91,0.082,133,0,BAJA
41,6,Electronica,2278.0,0.124,161,0,ALTA
41,6,Ropa,513.7,0.077,108,0,BAJA
41,6,Alimentos,132.88,0.046,88,0,BAJA
41,6,Hogar,751.49,0.117,144,0,BAJA
41,6,Deportes,584.91,0.05,237,0,BAJA
42,1,Electronica,2866.09,0.073,85,0,BAJA
42,1,Ropa,444.65,0.106,246,0,ALTA
42,1,Alimentos,105.48,0.108,106,0,BAJA
42,1,Hogar,689.45,0.003,204,0,BAJA
42,1,Deportes,643.71,0.091,135,0,ALTA
42,2,Electronica,2712.63,0.002,202,0,BAJA
42,2,Ropa,440.93,0.08,145,0,BAJA
42,2,Alimentos,133.95,0.134,117,0,BAJA
42,2,Hogar,902.46,0.144,151,0,BAJA
42,2,Deportes,606.85,0.144,78,0,BAJA
42,3,Electronica,2336.91,0.042,130,0,BAJA
42,3,Ropa,389.92,0.087,66,0,BAJA
42,3,Alimentos,117.82,0.077,101,0,BAJA
42,3,Hogar,700.87,0.045,243,0,BAJA
42,3,Deportes,617.8,0.086,231,0,ALTA
42,4,Electronica,2733.01,0.142,68,0,BAJA
42,4,Ropa,512.2,0.081,52,0,BAJA
42,4,Alimentos,118.2,0.104,196,0,BAJA
42,4,Hogar,749.0,0.081,156,0,BAJA
42,4,Deportes,585.49,0.147,220,0,ALTA
42,5,Electronica,2577.43,0.034,158,0,BAJA
42,5,Ropa,452.05,0.149,172,0,BAJA
42,5,Alimentos,129.8,0.026,126,0,BAJA
42,5,Hogar,783.63,0.117,146,0,BAJA
42,5,Deportes,664.92,0.051,211,0,BAJA
42,6,Electronica,2293.29,0.076,102,0,ALTA
42,6,Ropa,470.02,0.077,139,0,BAJA
42,6,Alimentos,122.56,0.13,77,0,BAJA
42,6,Hogar,888.32,0.087,193,0,BAJA
42,6,Deportes,570.53,0.069,128,0,BAJA
43,1,Electronica,2308.0,0.145,241,0,ALTA
43,1,Ropa,429.49,0.134,243,0,ALTA
