semana,accuracy_base,f1_base,accuracy_fix,f1_fix,equipo
38,0.8333,0.2857,0.8333,0.2857,"Equipo 7 - Raúl, Enrique, Erick"
39,0.8333,0.0,0.8667,0.3333,"Equipo 7 - Raúl, Enrique, Erick"
40,0.8667,0.3333,0.8333,0.2857,"Equipo 7 - Raúl, Enrique, Erick"
41,0.9,0.4,0.9,0.4,"Equipo 7 - Raúl, Enrique, Erick"
42,0.9,0.5714,0.8667,0.5,"Equipo 7 - Raúl, Enrique, Erick"
43,0.9667,0.8571,0.9667,0.8571,"Equipo 7 - Raúl, Enrique, Erick"
44,0.8333,0.5455,0.8667,0.6667,"Equipo 7 - Raúl, Enrique, Erick"
45,0.1333,0.0,0.5,0.6512,"Equipo 7 - Raúl, Enrique, Erick"
46,0.1,0.0,0.5333,0.65,"Equipo 7 - Raúl, Enrique, Erick"
47,0.2,0.0,0.5,0.5946,"Equipo 7 - Raúl, Enrique, Erick"
48,0.1333,0.0,0.6,0.7143,"Equipo 7 - Raúl, Enrique, Erick"
49,0.2333,0.0,0.4667,0.5294,"Equipo 7 - Raúl, Enrique, Erick"
50,0.2,0.0,0.6,0.7,"Equipo 7 - Raúl, Enrique, Erick"
51,0.2,0.0,0.4,0.5,"Equipo 7 - Raúl, Enrique, Erick"
52,0.1,0.0,0.5333,0.6667,"Equipo 7 - Raúl, Enrique, Erick"
